,HIP,Vmag,RA,DE,Plx,pmRA,pmDE,e_Plx,B-V
74,2327,10.11,7.427642999999999,20.301448999999998,20.25,27.94,-16.39,4.43,0.57
75,2337,6.15,7.4658690000000005,-14.864026999999998,23.62,147.08,-33.98,0.87,0.38799999999999996
76,2373,10.68,7.5752630000000005,7.179136,20.15,290.87,-47.19,1.85,1.0659999999999998
77,2383,5.67,7.6082279999999995,-48.214698,22.19,163.44,-87.3,0.67,0.36700000000000005
78,2414,7.74,7.689831,47.530004999999996,20.91,6.0,-54.4,1.05,0.652
79,2453,7.37,7.8017,69.785436,23.95,297.68,-72.65,0.66,0.504
80,2484,4.36,7.885669999999999,-62.958085,23.35,82.48,-54.37,0.52,-0.064
81,2533,8.54,8.033767999999998,-5.178640000000001,21.4,297.12,-27.41,1.86,0.84
82,2578,5.07,8.182476,-63.031379,21.52,86.15,-49.85,0.49,0.038
83,2710,6.9,8.613389,-6.503696,24.09,-72.45,-86.61,0.88,0.48100000000000004
84,2712,7.38,8.62236,47.915397,21.2,397.41,59.85,0.87,0.5489999999999999
85,2729,9.56,8.712882,-61.91601800000001,21.78,87.33,-53.14,1.01,1.05
86,2736,8.97,8.739422,4.381889,22.17,107.6,-172.75,1.24,0.8270000000000001
87,2760,7.37,8.807178,51.838509,22.87,51.84,-118.47,1.0,0.602
88,2797,9.31,8.908298,79.259146,20.78,176.27,-29.38,0.93,0.78
89,2824,8.37,8.967503,29.237851000000003,21.23,102.28,-16.38,1.17,0.648
90,2828,11.26,8.970857,12.597401,23.82,-366.89,-313.57,2.4,1.31
91,2843,6.72,9.007174000000001,-5.570457,21.19,225.69,-108.55,0.92,0.466
92,2848,8.4,9.016931,-49.127809,23.21,387.53,-133.01,1.15,0.78
93,2852,6.06,9.028761,-22.842211,20.12,-71.44,-50.35,0.91,0.297
94,2888,6.79,9.156804,-49.132001,22.79,385.2,-132.44,0.73,0.639
95,2944,6.99,9.342176,-37.28798,22.29,547.87,-40.97,0.84,0.723
96,2981,7.53,9.487066,47.407917,20.92,111.23,-84.37,0.97,0.46299999999999997
97,3006,7.11,9.561303,84.675021,24.8,-19.99,-17.89,0.6,0.5539999999999999
98,3028,9.21,9.63822,-12.172625,24.02,111.01,84.7,1.22,0.846
99,3086,7.34,9.803365,3.1332020000000003,21.79,781.34,296.76,0.88,0.633
100,3119,7.43,9.919210000000001,11.53231,20.14,158.48,-11.77,0.91,0.5379999999999999
101,3125,10.22,9.934979,-26.465959,24.73,244.35,-17.15,1.63,1.278
102,3142,6.68,9.989965,-33.961186,24.12,330.05,-108.27,0.82,0.519
103,3195,8.78,10.182398,-49.591752,23.09,181.51,-122.62,1.37,0.747
104,3210,7.37,10.214447999999999,-53.209802,21.91,112.6,-47.59,0.82,0.539
105,3232,9.92,10.281967999999999,19.254616,20.28,371.36,-78.25,1.77,0.93
106,3243,10.84,10.313305999999999,-52.317206,22.95,131.51,8.63,3.02,1.27
107,3267,6.95,10.393825,65.868362,20.99,71.95,-60.45,0.66,0.579
108,3293,7.03,10.505973,40.68841,20.38,-9.53,-62.51,1.02,0.452
109,3330,5.38,10.617905,-65.46813,24.59,54.11,41.12,0.51,0.515
110,3337,9.1,10.638702,-54.119616,24.04,-71.72,-160.6,5.66,0.772
111,3369,6.63,10.711497,-9.921639,24.48,-26.97,-21.33,0.91,0.529
112,3391,7.88,10.802331,-37.982353,22.7,50.46,-114.46,0.99,0.716
113,3428,10.97,10.922355,23.885757,23.62,91.71,-186.7,2.28,1.32
114,3509,6.9,11.199058,67.158321,21.8,217.29,-57.56,0.62,0.49200000000000005
115,3527,6.15,11.248836,-53.7149,22.09,223.4,2.2,0.65,0.524
116,3540,7.01,11.295022,0.253407,24.27,263.71,-52.28,0.88,0.537
117,3551,9.93,11.340305,16.984395000000003,20.12,179.82,-63.91,1.64,0.96
118,3587,7.54,11.448400999999999,66.49284200000001,23.1,2.92,-57.25,0.78,0.545
119,3589,7.63,11.46163,54.978013,20.56,95.62,-76.91,1.69,0.517
120,3633,9.92,11.641352000000001,14.325589,21.51,203.99,-56.23,1.44,0.8140000000000001
121,3641,6.39,11.659293,69.32537099999999,24.65,166.87,15.31,0.59,0.424
